iso3,country,gdp_usd,ag_land_usd,urban_land_usd,urban_pred_free,total_land_usd,total_free_usd,ag_source,reported_land_usd,reported_urban_land_usd
LVA,Latvia,33379927434.6149,14009363837.007221,64230070067.406044,27917974061.337254,78239433904.41327,41927337898.344475,cwon,,
ZMB,Zambia,18137764930.651,40127194172.3972,34900912071.898705,12907755881.65898,75028106244.2959,53034950054.05618,cwon,,
MDG,Madagascar,13051441204.053,49867385990.5317,25113744919.278786,8513077797.649627,74981130909.81049,58380463788.18133,cwon,,
RWA,Rwanda,10487146253.4025,54422270454.8574,20179496794.37188,6455565925.085088,74601767249.22928,60877836379.94249,cwon,,
TCD,Chad,14932897821.2387,41365627723.065,28734067060.102413,10093831144.965223,70099694783.16742,51459458868.03023,cwon,,
BHR,Bahrain,35837632978.7234,621377757.51062,68959217535.21756,30542618709.468075,69580595292.72818,31163996466.978695,cwon,,
EST,Estonia,31820771493.8974,6514978612.52252,61229922882.710625,26279022707.117123,67744901495.23315,32794001319.63964,cwon,44340395608.24839,37825416995.72587
HND,Honduras,23352232483.755,22212342384.0937,44934655163.64576,17768460002.12134,67146997547.739456,39980802386.21504,cwon,,
SLV,El Salvador,24921190000.0,11684709968.25004,47953662661.448074,19291530033.135326,59638372629.69811,30976240001.38537,cwon,,
BIH,Bosnia and Herzegovina,20226038369.9191,17305317903.61441,38919193704.97981,14815197010.551596,56224511608.59422,32120514914.166008,cwon,,
TKM,Turkmenistan,27350527267.6636,,52628223540.13904,21699938786.695538,52628223540.13904,21699938786.695538,missing,,
CYP,Cyprus,25555082266.6429,,49173406017.134315,19914213537.789352,49173406017.134315,19914213537.789352,missing,,
ALB,Albania,15241458744.5927,19322248546.59439,29327803813.00316,10358337661.063805,48650052359.59755,29680586207.658195,cwon,,
MAC,"Macao SAR, China",25280064167.7333,,48644212782.74608,19643550118.792408,48644212782.74608,19643550118.792408,missing,,
NIC,Nicaragua,12726422432.4868,19024986564.97142,24488339770.876007,8245840613.913936,43513326335.84743,27270827178.885357,cwon,,
ISL,Iceland,22034665040.7901,728227803.0138747,42399375560.47891,16510127816.986433,43127603363.49279,17238355620.00031,cwon,,
JAM,Jamaica,15000214216.2439,12872416985.614101,28863598101.6644,10151414207.654219,41736015087.2785,23023831193.26832,cwon,,
TTO,Trinidad and Tobago,20888515184.2239,1391529226.9262772,40193939801.54274,15431557115.815487,41585469028.46902,16823086342.741764,cwon,,
HTI,Haiti,14508222518.3018,13478268484.68512,27916901578.932194,9732152773.914215,41395170063.61731,23210421258.599335,cwon,,
BDI,Burundi,3188355943.63513,34529760313.0076,6135074021.974953,1432011006.6914723,40664834334.98255,35961771319.69907,cwon,,
TGO,Togo,7486031561.86885,26091019252.7911,14404714710.285187,4214716748.912888,40495733963.07629,30305736001.703987,cwon,,
AFG,Afghanistan,19955929052.1496,,38399446008.09886,14565410834.834019,38399446008.09886,14565410834.834019,missing,,
GEO,Georgia,16010869215.68,7435511496.22481,30808312977.240753,11024043475.747412,38243824473.46556,18459554971.97222,cwon,,
KGZ,Kyrgyz Republic,8270468614.24051,21385215248.62403,15914138208.463696,4780844738.574801,37299353457.08772,26166059987.198833,cwon,,
TJK,Tajikistan,8133963550.65742,21059617652.2334,15651473473.326931,4681264608.823989,36711091125.56033,25740882261.05739,cwon,,
GAB,Gabon,15342236163.9943,6527445421.083349,29521720972.411507,10445035700.663656,36049166393.49486,16972481121.747005,cwon,,
SLE,Sierra Leone,6688307705.64217,22227029685.755302,12869724579.457417,3654917266.501971,35096754265.21272,25881946952.257275,cwon,,
MKD,North Macedonia,12361036913.8409,10549187163.58995,23785260427.452854,7947565095.2249775,34334447591.042805,18496752258.814926,cwon,,
BWA,Botswana,14960251607.8135,5181663317.40501,28786701555.241734,10117221554.111616,33968364872.646744,15298884871.516626,cwon,,
MNG,Mongolia,13312981429.0891,7861585008.84473,25617003861.720154,8729406780.482246,33478588870.564884,16590991789.326977,cwon,,
ARM,Armenia,12641698583.2152,8432371089.36361,24325313090.07346,8176473449.91651,32757684179.43707,16608844539.28012,cwon,,
COG,"Congo, Rep.",11468687464.0046,10489278892.425869,22068190556.648983,7228992474.573541,32557469449.074852,17718271366.99941,cwon,,
MLT,Malta,16404655807.6687,240297388.6909472,31566042017.98188,11368071117.962059,31806339406.67283,11608368506.653006,cwon,,
NAM,Namibia,10583748541.5258,10076959546.832409,20365380114.42958,6530866038.5315895,30442339661.26199,16607825585.363998,cwon,,
PSE,West Bank and Gaza,15531700000.0,,29886289633.794098,10608437935.512766,29886289633.794098,10608437935.512766,missing,,
MDA,Moldova,11530746234.4492,4078467790.95967,22187604811.870525,7278501109.851144,26266072602.830196,11356968900.810814,cwon,,
MUS,Mauritius,11566111137.5568,2974060810.97752,22255654396.7289,7306745768.927662,25229715207.70642,10280806579.905182,cwon,,
