tile_x,tile_y,cells_per_side,value_usd,drawn_area
4920,2048,8,172510682.73495296,123514833.6875
4928,2048,8,172510682.73495296,52734122.671875
4936,2048,8,172510682.73495296,18448028.359375
4944,2048,8,172510682.73495296,171647002.328125
4952,2048,8,172510682.73495296,153817745.5625
4960,2048,8,172510682.73495296,122211221.125
4968,2048,8,172510682.73495296,122730611.65625
4976,2048,8,172510682.73495296,121785660.75
4984,2048,8,172510682.73495296,123546151.5625
4992,2048,8,173132451.48997915,127111264.28125
5000,2048,8,172549943.600342,128647674.53125
5008,2048,8,172510682.73495296,130837101.203125
5016,2048,8,172512655.77304277,130483543.828125
5024,2048,8,172523260.85326302,130115303.34375
5032,2048,8,172510682.73495296,131330971.625
5040,2048,8,172510682.73495296,131836517.34375
5048,2048,8,172515039.8610271,132203331.71875
5056,2048,8,172739637.36163646,132804925.796875
5064,2048,8,173897892.9267778,133809068.625
5072,2048,8,187110754.05060828,137780098.015625
5080,2048,8,174155025.0746721,135101795.796875
5088,2048,8,174465862.18483183,124593740.65625
5096,2048,8,172972875.1034839,113498109.828125
5104,2048,8,172610785.8645294,106234954.640625
5112,2048,8,173152267.83429492,105421367.015625
5120,2048,8,172886152.07221913,108667519.59375
5128,2048,8,193901617.66380316,122627095.46875
5136,2048,8,181585234.6618549,127403772.40625
5144,2048,8,178902941.16051626,135677948.375
5152,2048,8,301466401.32607263,181770286.953125
5160,2048,8,176694630.6624798,150240220.15625
5168,2048,8,174333496.4702698,130063019.34375
5176,2048,8,185189793.15146136,133043841.015625
5184,2048,8,179920177.3461218,139563245.578125
5192,2048,8,463483394.10590535,269050299.515625
5200,2048,8,215303529.52808982,195647999.03125
5208,2048,8,187334351.16470456,138395265.046875
5216,2048,8,209577795.27225065,148825166.875
5224,2048,8,191922139.86246672,98064616.703125
5232,2048,8,417729818.85990524,332719240.796875
5240,2048,8,2286022775.1620917,1045403887.8125
5248,2048,8,917839739.0702674,2660635968.78125
5256,2048,8,3147403171.991159,7468021243.0
5264,2048,8,70716759752.2762,69048534845.9375
2048,2056,8,250813950.65918544,1006006121.375
2056,2056,8,1474639617.4545517,272304714.703125
2064,2056,8,199976719.12663248,233789927.4140625
2072,2056,8,185448138.0009101,117643854.53125
2080,2056,8,167056107.49919865,143034433.390625
2088,2056,8,175395196.63126463,136793825.078125
2096,2056,8,174497062.49336177,162804701.203125
